"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
0.721	255	255	255	89.313	97.642	1.086	1.041	1.218	1976	2178	41.987	0.942	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.314	255	255	255	35.128	97.914	0.724	0.679	0.791	776	2166	156.371	0.679	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.809	255	255	255	67.313	98.547	1.177	1.086	1.223	1488	2180	141.009	1.042	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.52	255	255	255	87.14	99.045	0.815	0.815	0.942	1926	2202	35.218	0.815	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.033	255	255	255	45.901	100.086	1.222	1.267	1.41	1016	2213	132.397	1.184	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.68	255	255	255	37.844	100.63	0.951	0.905	1.042	837	2227	145.62	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.678	255	255	255	80.667	100.856	0.996	0.996	1.057	1783	2232	136.736	0.982	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.746	255	255	255	51.831	100.901	1.041	0.996	1.105	1148	2249	34.992	0.992	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.91	255	255	255	64.325	101.852	1.222	1.132	1.278	1422	2267	22.932	1.117	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.373	255	255	255	44.453	102.169	0.679	0.679	0.779	984	2258	125.538	0.679	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.6	255	255	255	57.761	102.757	0.905	0.86	0.972	1277	2285	27.759	0.86	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.309	255	255	255	79.399	103.165	0.679	0.679	0.716	1754	2288	18.435	0.655	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.738	255	255	255	44.996	105.156	1.041	0.951	1.06	994	2336	19.983	0.951	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.779	255	255	255	66.226	105.835	1.177	1.041	1.231	1467	2338	126.027	1.014	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.467	255	255	255	53.37	108.37	1.222	0.77	1.263	1179	2399	165.466	0.611	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.336	255	255	255	165.894	29.11	0.805	0.939	1.208	3710	651	128.991	0.799	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.708	255	255	255	166.61	29.244	1.565	0.671	1.628	3726	667	15.945	0.67	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.358	255	255	255	159.724	29.825	1.386	0.447	1.398	3572	677	7.352	0.447	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.074	255	255	255	149.394	31.659	1.207	1.163	1.266	3345	710	132.138	1.163	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
