Colony_width	EFP_plasmid	EarP_plasmid
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.313	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.537	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.537	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.671	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.537	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.76	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.313	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.268	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.313	H.aurantiacus	earp
0.268	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.224	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.268	H.aurantiacus	earp
0.313	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.313	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.447	M.prima	earp
0.447	M.prima	earp
0.358	M.prima	earp
0.358	M.prima	earp
0.402	M.prima	earp
0.358	M.prima	earp
0.402	M.prima	earp
0.402	M.prima	earp
0.358	M.prima	earp
0.358	M.prima	earp
0.581	M.prima	earp
0.268	M.prima	earp
0.313	M.prima	earp
0.313	M.prima	earp
0.313	M.prima	earp
0.402	M.prima	earp
0.268	M.prima	earp
0.313	M.prima	earp
0.402	M.prima	earp
